"","PA_city_vec"
"613"," Schnecksville "
"614"," Schuylkill Haven "
"615"," Schwenksville "
"616"," Sciota "
"617"," Scott Township "
"618"," Scottdale "
"619"," Scranton "
"620"," Secane "
"621"," Selinsgrove "
"622"," Sellersville "
"623"," Seven Fields "
"624"," Sewickley "
"625"," Shadyside "
"626"," Shamokin "
"627"," Sharon "
"628"," Sharon Hill "
"629"," Shavertown "
"630"," Shawnee-On-Delaware "
"631"," Sheffield "
"632"," Shenandoah "
"633"," Shickshinny "
"634"," Shillington "
"635"," Shinglehouse "
"636"," Shippensburg "
"637"," Shiremanstown "
"638"," Shrewsbury "
"639"," Silverdale "
"640"," Sinking Spring "
"641"," Skippack "
"642"," Slatington "
"643"," Slippery Rock "
"644"," Smethport "
"645"," Smithton "
"646"," Solebury "
"647"," Somerset "
"648"," Souderton "
"649"," South Abington Township "
"650"," South Park "
"651"," South Williamsport "
"652"," Southampton "
"653"," Southeastern "
"654"," Spring Brook Township "
"655"," Spring City "
"656"," Spring Grove "
"657"," Spring House "
"658"," Springfield "
"659"," Springtown "
"660"," Springville "
"661"," St. Clair "
"662"," St. Davids "
"663"," St. Marys "
"664"," Stahlstown "
"665"," State College "
"666"," Steelton "
"667"," Stevens "
"668"," Stewartstown "
"669"," Strafford "
"670"," Strasburg "
"671"," Stroudsburg "
"672"," Sugar Grove "
"673"," Sugarloaf "
"674"," Summerdale "
"675"," Summit Hill "
"676"," Sunbury "
"677"," Susquehanna "
"678"," Swarthmore "
"679"," Sweet Valley "
"680"," Swiftwater "
"681"," Swissvale "
"682"," Swoyersville "
"683"," Tamaqua "
"684"," Tannersville "
"685"," Tarentum "
"686"," Telford "
"687"," Temple "
"688"," Thomasville "
"689"," Thorndale "
"690"," Thornhurst "
"691"," Thornton "
"692"," Throop "
"693"," Tionesta "
"694"," Titusville "
"695"," Tobyhanna "
"696"," Towanda "
"697"," Trafford "
"698"," Trainer "
"699"," Trappe "
"700"," Trevose "
"701"," Trexlertown "
"702"," Trooper "
"703"," Troy "
"704"," Tunkhannock "
"705"," Turtle Creek "
"706"," Tyrone "
"707"," Union City "
"708"," Uniontown "
"709"," Unionville "
"710"," University Park "
"711"," Upper Darby "
"712"," Upper Gwynedd Township "
"713"," Upper Milford "
"714"," Upper Saint Clair "
"715"," Upper St. Clair "
"716"," Uwchlan "
"717"," Valencia "
"718"," Valley Forge "
"719"," Valley View "
"720"," Vandergrift "
"721"," Venetia "
"722"," Verona "
"723"," Villanova "
"724"," Wagontown "
"725"," Wallingford "
"726"," Wapwallopen "
"727"," Warminster "
"728"," Warren "
"729"," Warrendale "
"730"," Warrington "
"731"," Warwick Township "
"732"," Washington "
"733"," Washington Crossing "
"734"," Waterford "
"735"," Watsontown "
"736"," Waverly "
"737"," Wawa "
"738"," Waymart "
"739"," Wayne "
"740"," Waynesboro "
"741"," Waynesburg "
"742"," Wellsboro "
"743"," Wellsville "
"744"," Wernersville "
"745"," Wescosville "
"746"," West Bridgewater "
"747"," West Chester "
"748"," West Conshohocken "
"749"," West Grove "
"750"," West Hazleton "
"751"," West Lawn "
"752"," West Mifflin "
"753"," West Newton "
"754"," West Pittston "
"755"," West Point "
"756"," West Reading "
"757"," Westmoreland City "
"758"," Westtown "
"759"," Wexford "
"760"," White Haven "
"761"," White Oak "
"762"," Whitehall "
"763"," Wilkes-Barre "
"764"," Wilkinsburg "
"765"," Williamsport "
"766"," Willow Grove "
"767"," Willow Street "
"768"," Wilmerding "
"769"," Wind Gap "
"770"," Windber "
"771"," Womelsdorf "
"772"," Woodlyn "
"773"," Worcester "
"774"," Wormleysburg "
"775"," Wrightsville "
"776"," Wyalusing "
"777"," Wycombe "
"778"," Wyncote "
"779"," Wyndmoor "
"780"," Wynnewood "
"781"," Wyoming "
"782"," Wyomissing "
"783"," Wyomissing Hills "
"784"," Yardley "
"785"," Yeadon "
"786"," Yeagertown "
"787"," York "
"788"," York Springs "
"789"," Youngstown "
"790"," Youngwood "
"791"," Zelienople "
